胸,3
背中,3
肩,2
上腕三頭筋,2
上腕二頭筋,2
腹筋,1
足,3
ふくらはぎ,2
前腕部,1
大胸筋,
広背筋,
僧帽筋,
三角筋,
上腕二頭筋,
上腕三頭筋,
前腕,
腹直筋,
大腿四頭筋,
ハムストリングス,
腓腹筋,
